,City,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Country
296,kumano,20,1587176993,76,34.34,132.59,60.8,17.22,JP
297,vao,51,1587176993,69,-22.67,167.48,74.79,9.75,NC
298,richards bay,1,1587176993,64,46.84,-95.91,46.4,11.41,US
299,edd,22,1587176993,59,13.93,41.69,86.59,11.12,ER
300,genhe,45,1587176993,26,50.78,121.52,56.57,6.73,CN
301,san pedro,17,1587176742,12,13.3,-4.9,87.85,5.23,ML
302,asau,20,1587176993,36,46.43,26.4,64.4,10.29,RO
303,prince rupert,90,1587176993,80,52.97,-108.38,39.2,13.87,CA
304,hami,22,1587176994,19,42.8,93.45,66.67,6.11,CN
305,kendari,28,1587176994,64,-3.94,122.5,87.69,5.39,ID
306,chatrapur,0,1587176994,60,19.35,84.98,88.34,13.31,IN
307,hamilton,90,1587176918,93,39.18,-84.53,46.99,11.41,US
308,abu samrah,8,1587176885,25,24.6,72.7,77.11,6.85,IN
309,garowe,63,1587176994,65,8.41,48.48,77.9,9.66,SO
310,andenes,100,1587176994,86,69.31,16.12,37.4,9.17,NO
311,vila franca do campo,90,1587176994,100,42.03,-8.16,51.8,4.7,PT
312,angouleme,60,1587176995,93,45.65,0.15,54.0,3.36,FR
313,coquimbo,0,1587176785,93,-29.95,-71.34,57.2,4.7,CL
314,boone,47,1587176955,74,39.03,-92.33,36.0,5.82,US
315,kitgum,97,1587176995,72,3.28,32.89,67.42,2.3,UG
316,makat,96,1587176995,57,47.65,53.35,53.37,17.13,KZ
317,college,90,1587176995,70,64.86,-147.8,45.0,2.37,US
318,chuzhou,100,1587176996,62,32.32,118.3,63.0,7.61,CN
319,aksu,100,1587176996,36,41.12,80.26,61.02,5.32,CN
320,avera,1,1587176996,77,33.19,-82.53,60.8,4.7,US
321,ayagoz,10,1587176905,41,47.97,80.44,51.84,6.82,KZ
322,ambilobe,56,1587176924,74,-13.2,49.05,73.6,7.11,MG
323,singaraja,52,1587176860,70,-8.11,115.09,85.8,5.68,ID
324,touros,20,1587176901,94,-5.2,-35.46,77.0,8.28,BR
